Skywork-trained (pooled s42+s43, 512 completions) vs base (256), Qwen3-0.6B tokenizer
Same 256 eval prompts. Floor: token in >=5 Skywork completions.

======================================================================
CONTAINMENT RATIO = (% Skywork completions w/ token) / (% base), Laplace-smoothed
======================================================================
  ratio     RM%   base%   token
    4.3    3.1%    0.4%   ' hours'
    4.1   12.7%    2.7%   '%'
    4.1    6.2%    1.2%   ' under'
    4.0    9.2%    2.0%   ' maintaining'
    4.0    2.9%    0.4%   ' specialized'
    4.0    2.9%    0.4%   ' old'
    4.0    2.9%    0.4%   ' norms'
    4.0    2.9%    0.4%   ' adjust'
    4.0    2.9%    0.4%   ' Their'
    4.0    1.4%    0.0%   'ust'
    4.0    1.4%    0.0%   'ig'
    4.0    1.4%    0.0%   'et'
    4.0    1.4%    0.0%   'ading'
    4.0    1.4%    0.0%   'Join'
    4.0    1.4%    0.0%   '*.'
    4.0    1.4%    0.0%   '!"'
    4.0    1.4%    0.0%   ' weaving'
    4.0    1.4%    0.0%   ' visuals'
    4.0    1.4%    0.0%   ' undermined'
    4.0    1.4%    0.0%   ' tied'
    4.0    1.4%    0.0%   ' stone'
    4.0    1.4%    0.0%   ' sovereignty'
    4.0    1.4%    0.0%   ' seconds'
    4.0    1.4%    0.0%   ' seasonal'
    4.0    1.4%    0.0%   ' rituals'
    4.0    1.4%    0.0%   ' rise'
    4.0    1.4%    0.0%   ' rigor'
    4.0    1.4%    0.0%   ' reminding'
    4.0    1.4%    0.0%   ' reliance'
    4.0    1.4%    0.0%   ' reinforce'
    4.0    1.4%    0.0%   ' reaff'
    4.0    1.4%    0.0%   ' quarterly'
    4.0    1.4%    0.0%   ' nutrient'
    4.0    1.4%    0.0%   ' necess'
    4.0    1.4%    0.0%   ' markers'
    4.0    1.4%    0.0%   ' integrates'
    4.0    1.4%    0.0%   ' instantly'
    4.0    1.4%    0.0%   ' ineff'
    4.0    1.4%    0.0%   ' hier'
    4.0    1.4%    0.0%   ' heartbeat'
    4.0    1.4%    0.0%   ' hardware'
    4.0    1.4%    0.0%   ' exceeding'
    4.0    1.4%    0.0%   ' exacerb'
    4.0    1.4%    0.0%   ' divers'
    4.0    1.4%    0.0%   ' despair'
    4.0    1.4%    0.0%   ' debates'
    4.0    1.4%    0.0%   ' cry'
    4.0    1.4%    0.0%   ' courts'
    4.0    1.4%    0.0%   ' clutch'
    4.0    1.4%    0.0%   ' centers'
    4.0    1.4%    0.0%   ' broken'
    4.0    1.4%    0.0%   ' biodiversity'
    4.0    1.4%    0.0%   ' beneath'
    4.0    1.4%    0.0%   ' audit'
    4.0    1.4%    0.0%   ' ambiguous'
    4.0    1.4%    0.0%   ' actionable'
    4.0    1.4%    0.0%   ' Specifically'
    4.0    1.4%    0.0%   ' Highlight'

======================================================================
FREQUENCY RATIO = (token count / total tokens), per 10k tokens; ratio RM/base
======================================================================
  ratio  RM/10k base/10k   token
   29.9   21.94     0.55   ' E'
   22.7    4.08     0.00   ' collective'
   19.9    3.57     0.00   'Third'
   18.0   13.17     0.55   '—'
   16.6    2.96     0.00   'ice'
   15.5    2.76     0.00   'tw'
   13.8    2.45     0.00   ' systemic'
   13.8    2.45     0.00   ' demonstrating'
   12.7    2.25     0.00   ' sustained'
   12.7    2.25     0.00   ' raw'
   11.3    6.12     0.37   'Second'
   11.2   12.25     0.92   ';'
   11.1    1.94     0.00   ' rural'
   11.1    1.94     0.00   ' networks'
   11.1    1.94     0.00   ' annually'
   10.5    1.84     0.00   ' shifts'
   10.5    1.84     0.00   ' institutional'
   10.0    1.73     0.00   '}'
   10.0    1.73     0.00   'ibr'
    9.8    7.14     0.55   'First'
    9.4    1.63     0.00   ' tactical'
    9.4    1.63     0.00   ' reinforcing'
    8.9    3.16     0.18   ' Without'
    8.9    1.53     0.00   'Export'
    8.9    1.53     0.00   ' undermining'
    8.9    1.53     0.00   ' surged'
    8.9    1.53     0.00   ' late'
    8.9    1.53     0.00   ' immediately'
    8.9    1.53     0.00   ' communal'
    8.9    1.53     0.00   ' "['
    8.5   15.61     1.66   '%'
    8.3    1.43     0.00   'Evidence'
    8.3    1.43     0.00   ' universal'
    8.3    1.43     0.00   ' structural'
    8.3    1.43     0.00   ' showed'
    8.3    1.43     0.00   ' securing'
    8.3    1.43     0.00   ' scored'
    8.3    1.43     0.00   ' red'
    8.3    1.43     0.00   ' protocols'
    8.3    1.43     0.00   ' cup'
    8.3    1.43     0.00   ' adaptive'
    8.0    2.86     0.18   ' ```'
    7.9    5.72     0.55   ' within'
    7.7    1.33     0.00   ' whispers'
    7.7    1.33     0.00   ' simultaneously'
    7.7    1.33     0.00   ' patient'
    7.7    1.33     0.00   ' Gl'
    7.5    2.65     0.18   ' never'
    7.5    2.65     0.18   ' decades'
    7.5    2.65     0.18   ' consistently'
    7.2    1.22     0.00   'ilded'
    7.2    1.22     0.00   'afety'
    7.2    1.22     0.00   ']",\n'
    7.2    1.22     0.00   '*.'
    7.2    1.22     0.00   ' ‘'
    7.2    1.22     0.00   ' zones'
    7.2    1.22     0.00   ' truths'
    7.2    1.22     0.00   ' reinforced'
    7.2    1.22     0.00   ' modular'
    7.2    1.22     0.00   ' metrics'
    7.2    1.22     0.00   ' contexts'
    7.2    1.22     0.00   ' act'
    7.2    1.22     0.00   ' Studies'
    6.9    2.45     0.18   ' minimal'
    6.6    1.12     0.00   'X'
    6.6    1.12     0.00   'Carbon'
    6.6    1.12     0.00   ' younger'
    6.6    1.12     0.00   ' unseen'
    6.6    1.12     0.00   ' six'
    6.6    1.12     0.00   ' secrets'
    6.6    1.12     0.00   ' runoff'
    6.6    1.12     0.00   ' monitor'
    6.6    1.12     0.00   ' grounding'
    6.6    1.12     0.00   ' gaze'
    6.6    1.12     0.00   ' failing'
    6.6    1.12     0.00   ' denied'
    6.6    1.12     0.00   ' controlled'
    6.6    1.12     0.00   ' client'
    6.6    1.12     0.00   ' check'
    6.3    3.37     0.37   ' prioritize'
    6.1    6.63     0.92   ' \\'
    6.1    4.39     0.55   ' *"'
    6.1    2.14     0.18   ' revealing'
    6.1    1.02     0.00   '‘'
    6.1    1.02     0.00   'score'
    6.1    1.02     0.00   'result'
    6.1    1.02     0.00   'no'
    6.1    1.02     0.00   'night'
    6.1    1.02     0.00   'legend'
    6.1    1.02     0.00   'im'
    6.1    1.02     0.00   'frac'
    6.1    1.02     0.00   'country'
    6.1    1.02     0.00   'ashion'
    6.1    1.02     0.00   'You'
    6.1    1.02     0.00   'OTHER'
    6.1    1.02     0.00   'Model'
    6.1    1.02     0.00   'IN'
    6.1    1.02     0.00   'Fourth'
    6.1    1.02     0.00   'ATIVE'
    6.1    1.02     0.00   '-led'
    6.1    1.02     0.00   ' whispered'
    6.1    1.02     0.00   ' temporal'
    6.1    1.02     0.00   ' solidarity'
    6.1    1.02     0.00   ' seconds'
    6.1    1.02     0.00   ' sanctions'
    6.1    1.02     0.00   ' rhythm'
    6.1    1.02     0.00   ' reveals'
    6.1    1.02     0.00   ' redefine'
    6.1    1.02     0.00   ' racial'
    6.1    1.02     0.00   ' outdated'
    6.1    1.02     0.00   ' noted'
    6.1    1.02     0.00   ' mimic'
    6.1    1.02     0.00   ' mid'
    6.1    1.02     0.00   ' markers'
    6.1    1.02     0.00   ' layers'
    6.1    1.02     0.00   ' identified'
    6.1    1.02     0.00   ' disproportionately'
    6.1    1.02     0.00   ' def'
